snapshot_week,game_name,youtube_video_count,upload_velocity_7d,upload_velocity_30d,unique_creators,recent_video_avg_views,view_acceleration,short_video_ratio,title_update_freq,youtube_total_views,youtube_avg_views
2026-W13,Bee Swarm Simulator,50,10,23,26,58217.57,0.0324,0.0,0.04,49806510,996130.2
2026-W13,Sol's RNG,50,13,36,17,34734.94,0.0816,0.0,0.34,7212857,144257.14
2026-W13,Fisch,50,14,26,28,51165.27,0.0357,0.0,0.42,35692788,713855.76
2026-W13,Creatures of Sonaria  Survive Kaiju Anim,50,1,3,11,160003.67,0.2363,0.02,0.06,32305647,646112.94
2026-W13,All Star Tower Defense,50,29,45,16,29806.29,0.0336,0.0,0.14,5779054,115581.08
2026-W13,PLS DONATE,50,7,11,33,42204.18,0.0429,0.0,0.0,32924070,658481.4
2026-W13,Blade Ball,50,5,13,16,49692.08,0.0372,0.0,0.14,50029509,1000590.18
2026-W13,Dragon Adventures,50,10,24,20,14511.46,0.1061,0.0,0.16,3903895,78077.9
2026-W13,Build A Boat For Treasure,50,1,6,25,306301.5,0.0988,0.0,0.04,138286955,2765739.1
2026-W13,Flee the Facility,50,6,15,22,33840.73,0.0406,0.0,0.04,29679202,593584.04
2026-W13,Welcome to Bloxburg,50,1,3,25,22631.0,0.0072,0.08,0.26,148621339,2972426.78
2026-W13,DOORS,50,6,11,34,103858.09,0.0202,0.0,0.14,201250276,4025005.52
2026-W13,Tower Defense Simulator,50,10,27,22,74484.89,0.102,0.06,0.2,18802560,376051.2
2026-W13,a dusty trip,50,4,4,36,6340.0,0.0037,0.0,0.16,78051100,1561022.0
2026-W13,Jailbreak,50,23,31,32,12099.35,0.006,0.0,0.26,38818778,776375.56
2026-W13,RoyaleHigh,50,7,18,18,13420.5,0.0034,0.0,0.18,125722666,2514453.32
2026-W13,Prison Life,50,0,13,34,38220.85,0.0658,0.0,0.34,22003177,440063.54
2026-W13,Work at a Pizza Place,50,1,3,40,249519.33,0.118,0.02,0.02,100124340,2002486.8
2026-W13,Natural Disaster Survival,50,0,1,33,241419.0,0.0672,0.0,0.02,176184043,3523680.86
2026-W13,Piggy,50,10,20,22,133663.55,0.0089,0.02,0.36,452943372,9058867.44
2026-W13,Emergency Response: Liberty County,50,3,8,16,11549.38,0.0326,0.08,0.18,14992073,299841.46
2026-W13,Theme Park Tycoon 2,50,3,5,18,11756.2,0.0159,0.0,0.04,33344629,666892.58
2026-W13,Deepwoken: Ironsworn,50,0,1,38,2576.0,0.0641,0.04,0.1,1972989,39459.78
2026-W13,Arsenal,50,1,7,27,203737.86,0.1396,0.0,0.06,64193915,1283878.3
2026-W13,Greenville,50,16,28,15,15862.79,0.3335,0.0,0.48,1443152,28863.04
2026-W13,Phantom Forces,50,1,3,24,3446.33,0.012,0.0,0.06,13489544,269790.88
2026-W13,Shindo Life,50,2,5,12,3597.6,0.0174,0.16,0.04,9331667,186633.34
2026-W13,Lumber Tycoon 2,50,1,5,13,1800.2,0.0045,0.0,0.08,17825539,356510.78
2026-W13,Da Hood,50,2,9,24,49909.44,0.0627,0.0,0.02,33088251,661765.02
2026-W13,Pet Simulator X,50,1,1,11,15749.0,0.005,0.0,0.0,155254786,3105095.72
2026-W13,Dungeon Quest!  RPG Adventure,50,2,3,21,149909.0,1.2429,0.02,0.1,6118714,122374.28
2026-W13,Epic Minigames,50,1,5,29,1949.4,0.0012,0.04,0.12,71621753,1432435.06
2026-W13,Ninja Legends,50,0,2,22,975.5,0.0016,0.02,0.08,28847245,576944.9
2026-W13,Funky Friday,50,0,0,18,0.0,0.0,0.08,0.04,89009474,1780189.48
2026-W13,My Restaurant,50,0,0,28,0.0,0.0,0.0,0.08,39124211,782484.22
2026-W13,Speed Run 4,50,1,2,39,226191.0,0.1003,0.04,0.14,108739104,2174782.08
2026-W13,Super Golf,50,0,1,29,224246.0,0.4049,0.14,0.04,27358979,547179.58
2026-W13,Bad Business | FPS,50,0,2,20,9969.5,0.0654,0.02,0.2,7334911,146698.22
2026-W13,MeepCity,50,0,1,36,128917.0,0.0492,0.08,0.08,128617060,2572341.2
2026-W13,Giant Simulator,50,0,1,17,391.0,0.0013,0.02,0.04,15232362,304647.24
2026-W13,Vehicle Simulator,50,0,0,18,0.0,0.0,0.06,0.32,48520879,970417.58
2026-W14,Adopt Me,50,22,38,19,49637.29,0.021,0.06,0.36,30255525,605110.5
2026-W14,Blox Fruits,50,20,30,30,285258.8,0.0884,0.02,0.18,73081171,1461623.42
2026-W14,Brookhaven RP,50,2,5,22,434079.8,0.112,0.0,0.04,176605243,3532104.86
2026-W14,RIVALS,50,39,45,35,169278.24,0.2338,0.0,0.08,10514112,210282.24
2026-W14,Murder Mystery 2,50,2,5,32,318976.8,0.0959,0.0,0.02,151280998,3025619.96
2026-W14,The Strongest Battlegrounds,50,11,18,25,70609.11,0.0224,0.0,0.08,102304066,2046081.32
2026-W14,Bee Swarm Simulator,50,5,19,25,53662.0,0.0329,0.0,0.02,51534935,1030698.7
2026-W14,Sol's RNG,50,16,36,14,40080.08,0.1353,0.0,0.42,5589194,111783.88
2026-W14,Fisch,50,0,0,23,0.0,0.0,0.0,0.44,35565121,711302.42
2026-W14,Creatures of Sonaria  Survive Kaiju Anim,50,1,1,12,94630.0,0.1506,0.02,0.12,30889841,617796.82
2026-W14,All Star Tower Defense,50,0,0,16,0.0,0.0,0.0,0.14,5883889,117677.78
2026-W14,PLS DONATE,50,0,0,32,0.0,0.0,0.0222,0.02,33317733,666354.66
2026-W14,Blade Ball,50,2,10,18,76561.8,0.0403,0.0,0.12,76673790,1533475.8
2026-W14,Dragon Adventures,50,5,23,18,16445.22,0.0448,0.0,0.18,10280754,205615.08
2026-W14,Build A Boat For Treasure,50,0,3,25,875816.0,0.3841,0.0,0.02,109806384,2196127.68
2026-W14,Flee the Facility,50,5,16,19,60627.12,0.0761,0.0,0.06,28051071,561021.42
2026-W14,Welcome to Bloxburg,50,1,3,25,15145.33,0.0047,0.08,0.3,151837614,3036752.28
2026-W14,DOORS,50,2,6,33,168944.0,0.0315,0.0,0.18,236775471,4735509.42
2026-W14,Tower Defense Simulator,50,4,20,27,70976.15,0.0827,0.04,0.16,27162048,543240.96
2026-W14,a dusty trip,50,2,2,34,14818.5,0.0078,0.0,0.12,90889814,1817796.28
2026-W14,Jailbreak,50,10,22,31,21944.0,0.015,0.0,0.18,41493637,829872.74
2026-W14,RoyaleHigh,50,6,18,20,15574.28,0.0036,0.0,0.24,140399278,2807985.56
2026-W14,Prison Life,50,0,7,37,38336.43,0.0588,0.0,0.34,28315886,566317.72
2026-W14,Work at a Pizza Place,50,0,0,39,0.0,0.0,0.02,0.02,121324394,2426487.88
2026-W14,Natural Disaster Survival,50,0,1,33,260167.0,0.0689,0.0,0.02,185202389,3704047.78
2026-W14,Piggy,50,0,0,32,0.0,0.0,0.0,0.24,495762475,9915249.5
2026-W14,Emergency Response: Liberty County,50,4,7,15,13597.86,0.0407,0.06,0.18,14479122,289582.44
2026-W14,Theme Park Tycoon 2,50,1,4,17,77548.5,0.0405,0.0,0.02,88355624,1767112.48
2026-W14,Deepwoken: Ironsworn,50,0,1,37,2676.0,0.0395,0.04,0.08,3320119,66402.38
2026-W14,Arsenal,50,0,6,27,241715.83,0.1128,0.02,0.06,95770356,1915407.12
2026-W14,Greenville,50,9,21,17,20426.33,0.0796,0.0,0.52,7867437,157348.74
2026-W14,Phantom Forces,50,1,4,24,4870.75,0.0115,0.0,0.08,19437004,388740.08
2026-W14,Shindo Life,50,0,0,14,0.0,0.0,0.2,0.06,10135948,202718.96
2026-W14,Lumber Tycoon 2,50,3,6,13,6573.0,0.0157,0.0,0.08,18435913,368718.26
2026-W14,Da Hood,50,6,12,26,60176.83,0.0646,0.0,0.06,36119948,722398.96
2026-W14,Pet Simulator X,50,1,1,12,29257.0,0.0096,0.0,0.02,149203082,2984061.64
2026-W14,Dungeon Quest!  RPG Adventure,50,0,1,18,442043.0,3.6344,0.04,0.08,6401813,128036.26
2026-W14,Epic Minigames,50,6,9,33,4974.0,0.0029,0.04,0.1,69633079,1392661.58
2026-W14,Ninja Legends,50,0,4,26,525.5,0.0006,0.02,0.18,40531266,810625.32
2026-W14,Funky Friday,50,0,0,16,0.0,0.0,0.08,0.04,78196196,1563923.92
2026-W14,My Restaurant,50,1,2,29,10012.5,0.0104,0.02,0.1,46171429,923428.58
2026-W14,Speed Run 4,50,0,0,39,0.0,0.0,0.02,0.14,135365801,2707316.02
2026-W14,Super Golf,50,0,1,32,227675.0,0.3958,0.14,0.04,28413936,568278.72
2026-W14,Bad Business | FPS,50,0,4,22,15154.25,0.096,0.02,0.2,7322261,146445.22
2026-W14,MeepCity,50,0,1,35,135568.0,0.0557,0.08,0.06,119445661,2388913.22
2026-W14,Giant Simulator,50,0,1,16,502.0,0.001,0.02,0.06,23940146,478802.92
2026-W14,Vehicle Simulator,50,1,2,18,4153.5,0.0044,0.08,0.32,45343149,906862.98
2026-W15,Adopt Me,50,22,34,22,37191.35,0.0292,0.02,0.16,21629616,432592.32
2026-W15,Blox Fruits,50,17,27,28,218715.74,0.0854,0.0,0.14,64833737,1296674.74
2026-W15,Brookhaven RP,50,2,2,23,22610.0,0.006,0.0,0.06,179973939,3599478.78
2026-W15,RIVALS,50,28,43,30,322946.53,0.3486,0.0,0.04,20370649,407412.98
2026-W15,Murder Mystery 2,50,2,2,32,12853.5,0.005,0.0,0.0,124198838,2483976.76
2026-W15,The Strongest Battlegrounds,50,4,7,24,68853.71,0.0265,0.02,0.1,112097797,2241955.94
2026-W15,Bee Swarm Simulator,50,0,0,25,0.0,0.0,0.0,0.04,22490995,449819.9
2026-W15,Sol's RNG,50,0,0,17,0.0,0.0,0.0,0.36,4384655,87693.1
2026-W15,Fisch,50,13,24,26,60202.33,0.0475,0.0,0.42,34384946,687698.92
2026-W15,Creatures of Sonaria  Survive Kaiju Anim,50,0,0,13,0.0,0.0,0.02,0.16,32809063,656181.26
2026-W15,All Star Tower Defense,50,0,0,20,0.0,0.0,0.0,0.14,6708789,134175.78
2026-W15,PLS DONATE,50,3,6,26,49438.83,0.0403,0.0208,0.02,51845579,1036911.58
2026-W15,Blade Ball,50,2,7,14,41515.14,0.0205,0.0,0.18,87228863,1744577.26
2026-W15,Dragon Adventures,50,2,17,17,18501.53,0.0588,0.0,0.26,10701309,214026.18
2026-W15,Build A Boat For Treasure,50,0,0,27,0.0,0.0,0.0,0.0,127603920,2552078.4
2026-W15,Flee the Facility,50,5,17,19,35423.06,0.0477,0.0,0.06,25101038,502020.76
2026-W15,Welcome to Bloxburg,50,0,0,26,0.0,0.0,0.08,0.28,158503360,3170067.2
2026-W15,DOORS,50,0,0,33,0.0,0.0,0.0,0.22,227471116,4549422.32
2026-W15,Tower Defense Simulator,50,21,31,27,54827.19,0.0429,0.04,0.2,25968242,519364.84
2026-W15,a dusty trip,50,2,4,33,29312.5,0.0152,0.0,0.2,88575531,1771510.62
2026-W15,Jailbreak,50,11,22,27,21470.64,0.0181,0.0,0.2,33696402,673928.04
2026-W15,RoyaleHigh,50,5,16,19,17243.5,0.004,0.0,0.16,147546198,2950923.96
2026-W15,Prison Life,50,0,6,35,32094.83,0.0735,0.0,0.32,19393917,387878.34
2026-W15,Work at a Pizza Place,50,1,3,37,187925.33,0.073,0.02,0.04,121630889,2432617.78
2026-W15,Natural Disaster Survival,50,0,1,31,272416.0,0.0745,0.0,0.04,179430994,3588619.88
2026-W15,Piggy,50,11,16,28,160447.0,0.0121,0.02,0.26,453225208,9064504.16
2026-W15,Emergency Response: Liberty County,50,8,13,16,12463.85,0.0328,0.12,0.16,14222045,284440.9
2026-W15,Theme Park Tycoon 2,50,0,3,17,150162.33,0.087,0.0,0.02,81606957,1632139.14
2026-W15,Deepwoken: Ironsworn,50,0,0,38,0.0,0.0,0.04,0.08,3326368,66527.36
2026-W15,Arsenal,50,1,5,28,10963.2,0.0048,0.0,0.08,102489642,2049792.84
2026-W15,Greenville,50,21,26,23,18045.65,0.0582,0.0,0.38,7910505,158210.1
2026-W15,Phantom Forces,50,1,5,26,5813.0,0.013,0.0,0.12,20102247,402044.94
2026-W15,Shindo Life,50,3,6,15,2866.5,0.01,0.04,0.06,12673592,253471.84
2026-W15,Lumber Tycoon 2,50,0,0,13,0.0,0.0,0.0,0.1,19555562,391111.24
2026-W15,Da Hood,50,6,13,25,54364.08,0.0623,0.0,0.08,32982839,659656.78
2026-W15,Pet Simulator X,50,1,2,13,24125.5,0.0076,0.0,0.02,152166991,3043339.82
2026-W15,Dungeon Quest!  RPG Adventure,50,0,3,21,222644.0,1.2542,0.02,0.06,9011282,180225.64
2026-W15,Epic Minigames,50,2,8,29,11061.25,0.0076,0.0408,0.12,59877824,1197556.48
2026-W15,Ninja Legends,50,0,1,21,293.0,0.0004,0.02,0.16,39226692,784533.84
2026-W15,Funky Friday,50,0,0,17,0.0,0.0,0.08,0.04,77223704,1544474.08
2026-W15,My Restaurant,50,0,0,28,0.0,0.0,0.02,0.06,51023650,1020473.0
2026-W15,Speed Run 4,50,0,0,39,0.0,0.0,0.06,0.16,128618563,2572371.26
2026-W15,Super Golf,50,0,1,29,230421.0,0.3953,0.12,0.04,28796106,575922.12
2026-W15,Bad Business | FPS,50,1,3,21,1882.33,0.0112,0.02,0.3,7879567,157591.34
2026-W15,MeepCity,50,1,2,37,70762.0,0.0304,0.1,0.1,111738431,2234768.62
2026-W15,Giant Simulator,50,1,2,15,312.0,0.0006,0.02,0.06,24014416,480288.32
2026-W15,Vehicle Simulator,50,0,2,19,13666.5,0.0139,0.06,0.36,47160084,943201.68
2026-W16,Adopt Me,50,14,33,18,51288.55,0.0444,0.04,0.28,21312627,426252.54
2026-W16,Blox Fruits,50,14,28,25,234491.82,0.0941,0.0,0.1,61396961,1227939.22
2026-W16,Brookhaven RP,50,1,2,21,687532.0,0.1508,0.0,0.04,220195895,4403917.9
2026-W16,RIVALS,50,31,42,39,229227.12,0.3214,0.0,0.02,14619312,292386.24
2026-W16,Murder Mystery 2,50,2,5,30,100861.0,0.038,0.0,0.04,119796435,2395928.7
2026-W16,The Strongest Battlegrounds,50,5,13,24,86056.69,0.0292,0.0,0.04,110304418,2206088.36
2026-W16,Bee Swarm Simulator,50,4,24,24,46754.62,0.0533,0.0,0.0,23911856,478237.12
2026-W16,Sol's RNG,50,23,43,19,41338.7,0.1045,0.02,0.36,4547172,90943.44
2026-W16,Fisch,50,20,37,23,52902.49,0.0504,0.0,0.46,15594921,311898.42
2026-W16,Creatures of Sonaria  Survive Kaiju Anim,50,2,4,11,33969.5,0.0535,0.0,0.18,29327857,586557.14
2026-W16,All Star Tower Defense,50,8,43,17,44950.81,0.0639,0.0,0.18,6853337,137066.74
2026-W16,PLS DONATE,50,6,9,32,12656.0,0.0092,0.0227,0.04,48133446,962668.92
2026-W16,Blade Ball,50,0,0,12,0.0,0.0,0.0,0.12,75819274,1516385.48
2026-W16,Dragon Adventures,50,5,21,14,13339.86,0.0372,0.0,0.18,10666947,213338.94
2026-W16,Build A Boat For Treasure,50,0,3,23,648103.33,0.2203,0.0,0.0,140185374,2803707.48
2026-W16,Flee the Facility,50,4,14,22,46431.07,0.0358,0.0,0.04,47325564,946511.28
2026-W16,Welcome to Bloxburg,50,0,4,26,82608.0,0.025,0.08,0.32,152408141,3048162.82
2026-W16,DOORS,50,2,6,34,268264.33,0.0492,0.0,0.14,241593829,4831876.58
2026-W16,Tower Defense Simulator,50,8,20,30,73521.2,0.0863,0.0204,0.12,26162961,523259.22
2026-W16,a dusty trip,50,1,3,35,43835.67,0.0211,0.0,0.12,97599531,1951990.62
2026-W16,Jailbreak,50,9,19,27,23451.84,0.0233,0.0,0.24,31597035,631940.7
2026-W16,RoyaleHigh,50,3,18,19,11139.78,0.0023,0.0,0.22,158383619,3167672.38
2026-W16,Prison Life,50,0,6,34,34764.67,0.0825,0.0,0.28,18751843,375036.86
2026-W16,Work at a Pizza Place,50,0,2,40,288282.5,0.1237,0.02,0.02,112446341,2248926.82
2026-W16,Natural Disaster Survival,50,0,1,28,283254.0,0.0868,0.0,0.04,160199885,3203997.7
2026-W16,Piggy,50,0,0,28,0.0,0.0,0.02,0.3,479156546,9583130.92
2026-W16,Emergency Response: Liberty County,50,3,10,12,23321.5,0.0607,0.06,0.12,15604363,312087.26
2026-W16,Theme Park Tycoon 2,50,2,3,17,107810.0,0.0577,0.0,0.04,88186268,1763725.36
2026-W16,Deepwoken: Ironsworn,50,0,0,38,0.0,0.0,0.06,0.1,3393705,67874.1
2026-W16,Arsenal,50,1,5,23,9959.2,0.0056,0.0,0.1,80508929,1610178.58
2026-W16,Greenville,50,0,0,19,0.0,0.0,0.0,0.32,6631884,132637.68
2026-W16,Phantom Forces,50,2,5,27,8357.2,0.0166,0.0,0.08,22632700,452654.0
2026-W16,Shindo Life,50,2,7,15,3484.57,0.0114,0.02,0.06,13130114,262602.28
2026-W16,Lumber Tycoon 2,50,0,3,9,15067.67,0.035,0.0,0.08,20257507,405150.14
2026-W16,Da Hood,50,2,15,23,58596.07,0.0778,0.0,0.06,27230635,544612.7
2026-W16,Pet Simulator X,50,0,1,12,40302.0,0.0142,0.0,0.02,139390730,2787814.6
2026-W16,Dungeon Quest!  RPG Adventure,50,2,3,21,153532.33,1.223,0.02,0.04,6360891,127217.82
2026-W16,Epic Minigames,50,0,0,26,0.0,0.0,0.02,0.14,59925541,1198510.82
2026-W16,Ninja Legends,50,1,3,24,1529.67,0.0018,0.02,0.18,39490250,789805.0
2026-W16,Funky Friday,50,4,4,15,2853.75,0.002,0.06,0.08,66912905,1338258.1
2026-W16,My Restaurant,50,0,1,28,652.0,0.0007,0.0,0.06,44714913,894298.26
2026-W16,Speed Run 4,50,1,1,38,2.0,0.0,0.08,0.16,107892504,2157850.08
2026-W16,Super Golf,50,0,1,26,232879.0,0.4102,0.14,0.06,28051182,561023.64
2026-W16,Bad Business | FPS,50,1,3,21,27260.67,0.1599,0.02,0.28,8092794,161855.88
2026-W16,MeepCity,50,0,1,34,144516.0,0.0447,0.08,0.06,158521336,3170426.72
2026-W16,Giant Simulator,50,0,1,15,676.0,0.0014,0.02,0.04,24029756,480595.12
2026-W16,Vehicle Simulator,50,0,2,20,14056.5,0.015,0.06,0.34,45144373,902887.46
2026-W17,Adopt Me,50,29,39,23,38835.87,0.0332,0.02,0.22,14380810,287616.2
2026-W17,Blox Fruits,50,20,26,24,213416.65,0.0958,0.0,0.18,59003017,1180060.34
2026-W17,Brookhaven RP,50,5,6,20,239879.33,0.0564,0.0,0.02,188678732,3773574.64
2026-W17,RIVALS,50,29,42,32,287955.24,0.3941,0.0,0.08,17940028,358800.56
2026-W17,Murder Mystery 2,50,4,8,32,291241.12,0.0901,0.0,0.08,138160916,2763218.32
2026-W17,The Strongest Battlegrounds,50,6,9,25,61167.89,0.0246,0.0,0.1,102573352,2051467.04
2026-W17,Bee Swarm Simulator,50,0,0,21,0.0,0.0,0.0,0.0,44651515,893030.3
2026-W17,Sol's RNG,50,22,42,23,54673.0,0.1424,0.0,0.26,5367514,107350.28
2026-W17,Fisch,50,11,30,27,70395.6,0.0398,0.02,0.32,37475416,749508.32
2026-W17,Creatures of Sonaria  Survive Kaiju Anim,50,1,2,13,29335.5,0.0425,0.02,0.18,33165502,663310.04
2026-W17,All Star Tower Defense,50,0,0,19,0.0,0.0,0.0,0.16,6512339,130246.78
2026-W17,PLS DONATE,50,0,0,33,0.0,0.0,0.0,0.02,41750353,835007.06
2026-W17,Blade Ball,50,2,8,17,87832.38,0.0448,0.0,0.16,82990189,1659803.78
2026-W17,Dragon Adventures,50,5,18,18,13879.22,0.0429,0.0,0.2,10596136,211922.72
2026-W17,Build A Boat For Treasure,50,1,8,27,288919.25,0.1179,0.0,0.02,105250347,2105006.94
2026-W17,Flee the Facility,50,8,14,21,24457.21,0.0257,0.0,0.02,34617364,692347.28
2026-W17,Welcome to Bloxburg,50,1,3,24,117312.33,0.0355,0.06,0.28,155577998,3111559.96
2026-W17,DOORS,50,5,7,36,36857.71,0.0044,0.0,0.16,363346879,7266937.58
2026-W17,Tower Defense Simulator,50,15,27,29,40369.74,0.046,0.04,0.16,21287122,425742.44
2026-W17,a dusty trip,50,2,3,30,31145.33,0.0134,0.0,0.12,109400610,2188012.2
2026-W17,Jailbreak,50,11,24,26,17058.71,0.0722,0.0,0.22,6548565,130971.3
2026-W17,RoyaleHigh,50,4,18,20,9381.44,0.0021,0.0,0.28,144361083,2887221.66
2026-W17,Prison Life,50,1,2,35,15787.5,0.0463,0.0,0.32,16382419,327648.38
2026-W17,Work at a Pizza Place,50,0,0,36,0.0,0.0,0.0,0.0,129729392,2594587.84
2026-W17,Natural Disaster Survival,50,0,1,27,289973.0,0.0826,0.0,0.04,172271295,3445425.9
2026-W17,Piggy,50,4,17,31,111991.0,0.0092,0.02,0.22,404245359,8084907.18
2026-W17,Emergency Response: Liberty County,50,6,14,13,22360.86,0.0592,0.06,0.22,13910379,278207.58
2026-W17,Theme Park Tycoon 2,50,1,4,17,98710.75,0.1163,0.02,0.02,39434984,788699.68
2026-W17,Deepwoken: Ironsworn,50,0,1,39,2933.0,0.0432,0.04,0.1,3331448,66628.96
2026-W17,Arsenal,50,9,12,24,4717.58,0.0021,0.04,0.08,86681491,1733629.82
2026-W17,Greenville,50,10,21,16,24003.14,0.0751,0.0,0.36,9768871,195377.42
2026-W17,Phantom Forces,50,1,8,26,8953.5,0.0285,0.0,0.1,13249326,264986.52
2026-W17,Shindo Life,50,1,2,12,4374.0,0.0154,0.0,0.06,13660564,273211.28
2026-W17,Lumber Tycoon 2,50,1,5,11,16128.8,0.0389,0.0,0.12,18719831,374396.62
2026-W17,Da Hood,50,0,0,25,0.0,0.0,0.0,0.06,29694516,593890.32
2026-W17,Pet Simulator X,50,0,1,15,41415.0,0.0133,0.0,0.02,152217334,3044346.68
2026-W17,Dungeon Quest!  RPG Adventure,50,2,6,22,128312.83,0.9956,0.02,0.04,6440668,128813.36
2026-W17,Epic Minigames,50,0,4,30,24076.75,0.0169,0.02,0.16,65500604,1310012.08
