snapshot_time,universe_id,game_name,genre,genre_l1,genre_l2,playing_ccu,total_visits,favorited_count,up_votes,down_votes,like_ratio,favorites_per_1k_visits,favorites_per_visit,engagement_score,created_date,age_days,max_players,creator_name,creator_type,has_verified_badge,tier,is_breakout,breakout_year,ccu_rank
2026-03-18 20:47,1516533665,Piggy [MYSTERY SKIN QUEST],Horror,Survival,,4088,14111633515,12047165,3948537,429594,0.9019,0.8537,0.0008537,0.00640284,2020-01-23,2246,6,MiniToon,User,True,established,False,,26
2026-03-18 20:47,903807016,[👷] Emergency Response: Liberty County,Town and City,Roleplay & Avatar Sim,Life,3673,1447873461,2739850,1133632,112209,0.9099,1.8923,0.00189233,0.01413507,2018-11-01,2693,40,Police Roleplay Community,Group,False,mid,False,,27
2026-03-18 20:47,31970568,Theme Park Tycoon 2,Building,Simulation,Tycoon,3592,1546631319,5998657,2036949,254731,0.8888,3.8785,0.00387853,0.02822309,2012-01-02,5189,6,Den_S,User,False,established,False,,28
2026-03-18 20:47,1359573625,Deepwoken: Ironsworn,RPG,RPG,Action RPG,3325,1510974861,984401,394975,60305,0.8675,0.6515,0.0006515,0.00458354,2019-10-12,2348,30,Monad Studios East,Group,False,mid,False,,29
2026-03-18 20:47,111958650,Arsenal,Fighting,Shooter,Deathmatch Shooter,3206,6162264316,11453625,5080695,655965,0.8857,1.8587,0.00185867,0.01328943,2015-08-18,3865,16,ROLVe,Group,True,established,False,,30
2026-03-18 20:47,371263894,Greenville,Town and City,Roleplay & Avatar Sim,Life,2801,1334630164,2554913,987531,140702,0.8753,1.9143,0.00191432,0.01330096,2017-06-28,3184,30,"Greenville, Wisconsin",Group,False,mid,False,,31
2026-03-18 20:47,113491250,[SPRING UPDATE!] Phantom Forces,FPS,Shooter,Deathmatch Shooter,1886,1756634675,5943894,2447988,247404,0.9082,3.3837,0.00338368,0.02317962,2015-08-31,3852,32,StyLiS Studios,Group,True,established,False,,32
2026-03-18 20:47,1511883870,Shindo Life [242],All,RPG,Action RPG,1886,2646547852,3004138,2175375,143985,0.9379,1.1351,0.00113512,0.00803037,2020-01-20,2248,5,RELL World,Group,True,established,False,,33
2026-03-18 20:47,2471084,🌳 Lumber Tycoon 2,Adventure,Simulation,Tycoon,1516,1288653867,4571604,2008218,282041,0.8769,3.5476,0.00354758,0.02278431,2009-07-30,6075,6,Defaultio,User,True,lower_mid,False,,34
2026-03-18 20:47,1008451066,Da Hood ,Town and City,Action,Open World Action,1356,2886463505,2982240,1282800,536530,0.7051,1.0332,0.00103318,0.00525463,2019-01-27,2607,40,Da Hood Entertainment,Group,True,established,False,,35
